"ref","latin","Pos","Sampled"
"Balan̤a et al. 2009 VBZD","Acrocephalus arundinaceus",0,8
"Balan̤a et al. 2009 VBZD","Acrocephalus melanopogon",0,35
"Balan̤a et al. 2009 VBZD","Acrocephalus schoenobaenus",0,5
"Balan̤a et al. 2009 VBZD","Acrocephalus scirpaceus",0,184
"Balan̤a et al. 2009 VBZD","Hirundo rustica",0,1006
"Balan̤a et al. 2009 VBZD","Passer domesticus",7,1590
"Balan̤a et al. 2009 VBZD","Passer montanus",0,20
"Figuerola et al. 2008 Vet Micr","Acrocephalus schoenobaenus",0,4
"Figuerola et al. 2008 Vet Micr","Acrocephalus scirpaceus",0,11
"Figuerola et al. 2008 Vet Micr","Actitis hypoleucos",0,1
"Figuerola et al. 2008 Vet Micr","Anthus pratensis",0,5
"Figuerola et al. 2008 Vet Micr","Anthus spinoletta",0,1
"Figuerola et al. 2008 Vet Micr","Apus pallidus",0,14
"Figuerola et al. 2008 Vet Micr","Calidris alpina",5,93
"Figuerola et al. 2008 Vet Micr","Carduelis carduelis",0,19
"Figuerola et al. 2008 Vet Micr","Carduelis chloris",0,9
"Figuerola et al. 2008 Vet Micr","Cettia cetti",0,13
"Figuerola et al. 2008 Vet Micr","Cisticola juncidis",0,1
"Figuerola et al. 2008 Vet Micr","Erithacus rubecula",0,1
"Figuerola et al. 2008 Vet Micr","Fringilla coelebs",0,1
"Figuerola et al. 2008 Vet Micr","Galerida cristata",0,1
"Figuerola et al. 2008 Vet Micr","Hippolais opaca",0,7
"Figuerola et al. 2008 Vet Micr","Hirundo rustica",0,4
"Figuerola et al. 2008 Vet Micr","Jynx torquilla",1,4
"Figuerola et al. 2008 Vet Micr","Luscinia megarhynchos",0,4
"Figuerola et al. 2008 Vet Micr","Luscinia svecica",0,4
"Figuerola et al. 2008 Vet Micr","Motacilla alba",0,63
"Figuerola et al. 2008 Vet Micr","Motacilla cinerea",0,1
"Figuerola et al. 2008 Vet Micr","Motacilla flava",2,11
"Figuerola et al. 2008 Vet Micr","Muscicapa striata",1,1
"Figuerola et al. 2008 Vet Micr","Parus major",0,3
"Figuerola et al. 2008 Vet Micr","Passer domesticus",0,170
"Figuerola et al. 2008 Vet Micr","Passer hispaniolensis",0,2
"Figuerola et al. 2008 Vet Micr","Passer montanus",0,1
"Figuerola et al. 2008 Vet Micr","Serinus serinus",0,1
"Figuerola et al. 2008 Vet Micr","Sterna albifrons",0,2
"Figuerola et al. 2008 Vet Micr","Sylvia atricapilla",1,8
"Figuerola et al. 2008 Vet Micr","Sylvia melanocephala",0,2
"Hars et al. 2001 (rapport)","Passer domesticus",0,117
"Hubalek et al. VBZD 2008","Acrocephalus arundinaceus",0,30
"Hubalek et al. VBZD 2008","Acrocephalus palustris",2,28
"Hubalek et al. VBZD 2008","Acrocephalus schoenobaenus",3,80
"Hubalek et al. VBZD 2008","Acrocephalus scirpaceus",2,80
"Hubalek et al. VBZD 2008","Alcedo atthis",1,1
"Hubalek et al. VBZD 2008","Cyanistes caeruleus",1,1
"Hubalek et al. VBZD 2008","Emberiza schoeniclus",1,28
"Hubalek et al. VBZD 2008","Hippolais icterina",0,2
"Hubalek et al. VBZD 2008","Hirundo rustica",0,20
"Hubalek et al. VBZD 2008","Lanius collurio",0,1
"Hubalek et al. VBZD 2008","Locustella luscinioides",3,12
"Hubalek et al. VBZD 2008","Panurus biarmicus",0,1
"Hubalek et al. VBZD 2008","Remiz pendulinus",1,14
"Hubalek et al. VBZD 2008","Saxicola torquata",0,1
"Hubalek et al. VBZD 2008","Sylvia atricapilla",2,11
"Hubalek et al. VBZD 2008","Sylvia nisoria",0,1
"Jourdain et al. 2008 JWD","Erithacus rubecula",0,33
"Jourdain et al. 2008 JWD","Ficedula hypoleuca",1,24
